"","X","nÃºm_corre","aÃ.o_ocu","mes_ocu","dÃ.a_ocu","dÃ.a_sem_ocu","hora_ocu","g_hora","g_hora_5","depto_ocu","mupio_ocu","Ã.rea_geo_ocu","zona_ocu","sexo_per","edad_per","mayor_menor","g_edad_80ymÃ.s","g_edad_60ymÃ.s","edad_quinquenales","estado_con","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","deptoName"
"76",497,498,2015,"Febrero",16,"Lunes",9,2,1,9,920,2,99,"Hombre",18,1,2,2,4,1,4,24,"Rojo",9999,6,2,"Quetzaltenango"
"77",513,514,2015,"Febrero",17,"Martes",8,2,1,10,1001,1,2,"Hombre",23,1,3,3,5,2,4,21,"Rojo",9999,6,2,"Suchitepéquez"
"78",544,545,2015,"Febrero",19,"Jueves",16,3,2,6,602,2,99,"Hombre",24,1,3,3,5,1,4,42,"Negro",2007,4,1,"Santa Rosa"
"79",562,563,2015,"Febrero",21,"Sabado",0,1,1,1,108,1,4,"Hombre",22,1,3,3,5,2,4,20,"Negro",2013,5,1,"Guatemala"
"80",584,585,2015,"Febrero",23,"Lunes",14,3,2,22,2212,2,99,"Hombre",29,1,4,4,6,1,4,21,"Blanco",9999,6,1,"Jutiapa"
"81",594,595,2015,"Febrero",25,"Miercoles",13,3,2,22,2206,2,99,"Hombre",32,1,5,5,7,1,4,42,"Azul",9999,6,1,"Jutiapa"
"82",604,605,2015,"Febrero",26,"Jueves",8,2,1,6,601,2,99,"Hombre",23,1,3,3,5,1,4,2,"Rojo",2009,4,1,"Santa Rosa"
"83",619,620,2015,"Febrero",27,"Viernes",3,1,1,22,2205,2,99,"Hombre",44,1,7,7,9,1,4,99,"Negro",2009,4,4,"Jutiapa"
"84",625,626,2015,"Febrero",27,"Viernes",23,4,3,5,501,2,99,"Hombre",22,1,3,3,5,9,4,99,"Rojo",9999,6,1,"Escuintla"
"85",628,629,2015,"Febrero",28,"Sabado",1,1,1,1,101,1,12,"Hombre",22,1,3,3,5,9,4,42,"Blanco",9999,6,1,"Guatemala"
"86",629,630,2015,"Febrero",28,"Sabado",20,4,3,1,114,2,99,"Hombre",28,1,4,4,6,1,4,24,"Negro",9999,6,1,"Guatemala"
"87",630,631,2015,"Febrero",28,"Sabado",18,4,3,1,114,2,99,"Mujer",36,1,6,6,8,1,4,24,"Rojo",9999,6,1,"Guatemala"
"88",650,651,2015,"Marzo",1,"Domingo",19,4,3,1,101,1,13,"Hombre",20,1,3,3,5,1,4,2,"Azul",2012,5,1,"Guatemala"
"89",651,652,2015,"Marzo",1,"Domingo",9,2,1,1,115,2,99,"Hombre",22,1,3,3,5,1,4,2,"Negro",9999,6,1,"Guatemala"
"90",672,673,2015,"Marzo",2,"Lunes",22,4,3,17,1701,2,99,"Hombre",28,1,4,4,6,2,4,24,"Negro",9999,6,3,"Petén"
"91",679,680,2015,"Marzo",4,"Miercoles",2,1,1,1,101,1,5,"Hombre",35,1,6,6,8,2,4,42,"Negro",2005,4,2,"Guatemala"
"92",681,682,2015,"Marzo",4,"Miercoles",11,2,1,1,101,1,1,"Hombre",35,1,6,6,8,9,4,99,"Gris",2008,4,1,"Guatemala"
"93",695,696,2015,"Marzo",5,"Jueves",13,3,2,17,1701,2,99,"Hombre",17,2,2,2,4,9,4,2,"Negro",2014,5,1,"Petén"
"94",696,697,2015,"Marzo",5,"Jueves",17,3,2,4,406,2,99,"Hombre",38,1,6,6,8,9,4,40,"Azul",2012,5,1,"Chimaltenango"
"95",701,702,2015,"Marzo",6,"Viernes",23,4,3,1,101,1,3,"Hombre",31,1,5,5,7,1,4,2,"Rojo",9999,6,1,"Guatemala"
"96",717,718,2015,"Marzo",7,"Sabado",8,2,1,1,101,1,12,"Hombre",33,1,5,5,7,1,4,2,"Corinto",9999,6,2,"Guatemala"
"97",720,721,2015,"Marzo",7,"Sabado",8,2,1,11,1105,2,99,"Hombre",27,1,4,4,6,1,4,2,"Negro",9999,6,1,"Retalhuleu"
"98",721,722,2015,"Marzo",7,"Sabado",7,2,1,9,920,2,99,"Hombre",24,1,3,3,5,1,4,21,"Negro",9999,6,1,"Quetzaltenango"
"99",724,725,2015,"Marzo",8,"Domingo",1,1,1,1,101,1,1,"Hombre",26,1,4,4,6,2,4,61,"Azul",2014,5,2,"Guatemala"
"100",726,727,2015,"Marzo",8,"Domingo",9,2,1,1,101,1,1,"Hombre",54,1,9,9,11,1,4,2,"Negro",2006,4,1,"Guatemala"
"101",728,729,2015,"Marzo",8,"Domingo",20,4,3,1,101,1,1,"Hombre",42,1,7,7,9,1,4,99,"Rojo",9999,6,1,"Guatemala"
"102",738,739,2015,"Marzo",8,"Domingo",8,2,1,2,205,2,99,"Hombre",34,1,5,5,7,2,4,42,"Negro",9999,6,2,"El Progreso"
"103",742,743,2015,"Marzo",9,"Lunes",17,3,2,5,513,2,99,"Hombre",25,1,4,4,6,1,4,99,"Corinto",9999,6,1,"Escuintla"
"104",743,744,2015,"Marzo",9,"Lunes",17,3,2,10,1001,2,99,"Mujer",76,1,14,11,16,1,4,61,"Negro",2010,5,1,"Suchitepéquez"
"105",744,745,2015,"Marzo",9,"Lunes",23,4,3,12,1216,2,99,"Hombre",21,1,3,3,5,1,4,2,"Blanco",9999,6,2,"San Marcos"
"106",752,753,2015,"Marzo",10,"Martes",20,4,3,10,1001,2,99,"Hombre",23,1,3,3,5,1,4,2,"Rojo",2013,5,1,"Suchitepéquez"
"107",754,755,2015,"Marzo",10,"Martes",7,2,1,11,1102,2,99,"Hombre",21,1,3,3,5,1,4,2,"Negro",9999,6,1,"Retalhuleu"
"108",797,798,2015,"Marzo",16,"Lunes",17,3,2,14,1401,2,99,"Hombre",25,1,4,4,6,1,4,24,"Negro",2012,5,1,"Quiché"
"109",799,800,2015,"Marzo",17,"Martes",16,3,2,1,101,1,3,"Hombre",19,1,2,2,4,1,4,2,"Azul",9999,6,1,"Guatemala"
"110",802,803,2015,"Marzo",17,"Martes",18,4,3,5,501,1,1,"Hombre",46,1,8,8,10,1,4,99,"Negro",2011,5,1,"Escuintla"
"111",821,822,2015,"Marzo",18,"Miercoles",5,1,1,11,1101,2,99,"Hombre",25,1,4,4,6,9,4,99,"Azul",9999,6,1,"Retalhuleu"
"112",831,832,2015,"Marzo",19,"Jueves",8,2,1,5,502,2,99,"Hombre",42,1,7,7,9,1,4,40,"Negro",2007,4,1,"Escuintla"
"113",840,841,2015,"Marzo",20,"Viernes",21,4,3,2,208,2,99,"Hombre",22,1,3,3,5,1,4,99,"Negro",9999,6,2,"El Progreso"
"114",845,846,2015,"Marzo",21,"Sabado",13,3,2,1,101,1,10,"Hombre",21,1,3,3,5,9,4,42,"Rojo",9999,6,1,"Guatemala"
"115",847,848,2015,"Marzo",21,"Sabado",6,2,1,19,1902,2,99,"Hombre",21,1,3,3,5,9,4,2,"Azul",9999,6,3,"Zacapa"
"116",859,860,2015,"Marzo",22,"Domingo",19,4,3,12,1222,2,99,"Hombre",22,1,3,3,5,9,4,2,"Gris",9999,6,1,"San Marcos"
"117",873,874,2015,"Marzo",24,"Martes",13,3,2,10,1010,2,99,"Hombre",25,1,4,4,6,1,4,2,"Rojo",9999,6,1,"Suchitepéquez"
"118",880,881,2015,"Marzo",25,"Miercoles",13,3,2,16,1604,1,3,"Hombre",16,2,2,2,4,1,4,21,"Negro",9999,6,1,"Alta Verapaz"
"119",904,905,2015,"Marzo",27,"Viernes",23,4,3,17,1703,2,99,"Hombre",23,1,3,3,5,1,4,2,"Negro",9999,6,1,"Petén"
"120",907,908,2015,"Marzo",28,"Sabado",22,4,3,1,101,1,9,"Hombre",29,1,4,4,6,1,4,2,"Rojo",2014,5,1,"Guatemala"
"121",930,931,2015,"Marzo",28,"Sabado",8,2,1,14,1413,2,99,"Hombre",20,1,3,3,5,1,4,2,"Negro",9999,6,1,"Quiché"
"122",934,935,2015,"Marzo",29,"Domingo",8,2,1,1,101,1,16,"Hombre",28,1,4,4,6,1,4,45,"Blanco",9999,6,3,"Guatemala"
"123",938,939,2015,"Marzo",29,"Domingo",10,2,1,19,1901,2,99,"Hombre",18,1,2,2,4,1,4,40,"Negro",9999,6,1,"Zacapa"
"124",966,967,2015,"Marzo",30,"Lunes",17,3,2,5,507,2,99,"Hombre",66,1,12,11,14,9,4,2,"Rojo",2011,5,1,"Escuintla"
"125",978,979,2015,"Marzo",31,"Martes",18,4,3,18,1803,2,99,"Hombre",33,1,5,5,7,2,4,42,"Gris",9999,6,3,"Izabal"
"126",981,982,2015,"Marzo",31,"Martes",20,4,3,3,302,2,99,"Hombre",17,2,2,2,4,1,4,99,"Negro",9999,6,1,"Sacatepéquez"
"127",987,988,2015,"Abril",1,"Miercoles",17,3,2,10,1017,2,99,"Hombre",25,1,4,4,6,2,4,42,"Rojo",2002,4,2,"Suchitepéquez"
"128",990,991,2015,"Abril",1,"Miercoles",10,2,1,17,1701,2,99,"Hombre",23,1,3,3,5,1,4,40,"Corinto",2014,5,1,"Petén"
"129",992,993,2015,"Abril",2,"Jueves",15,3,2,1,101,1,3,"Hombre",18,1,2,2,4,1,4,61,"Negro",2008,4,1,"Guatemala"
"130",1000,1001,2015,"Abril",2,"Jueves",14,3,2,1,108,1,11,"Hombre",21,1,3,3,5,1,4,24,"Rojo",2010,5,1,"Guatemala"
